comuna_casen_id,comuna_name,comuna_datachile_id
6201,san fernando,286
8107,san ignacio,288
7308,san javier,289
13115,san joaqun,290
13302,san jos de maipo,291
10207,san juan de la costa,292
13119,san miguel,293
8120,san nicols,294
10202,san pablo,295
13505,san pedro,296
2203,san pedro de atacama,297
8310,san pedro de la paz,298
7210,san rafael,299
13118,san ramn,300
8212,san rosendo,301
6111,san vicente,302
8206,santa brbara,303
6206,santa cruz,304
8307,santa juana,305
5303,santa mara,306
13101,santiago,307
5606,santo domingo,308
2303,sierra gorda,309
13601,talagante,310
7201,talca,311
8302,talcahuano,312
2304,taltal,313
9201,temuco,314
7102,teno,315
9215,teodoro schmidt,316
3203,tierra amarilla,317
13203,til-til,318
8407,tira,320
2101,tocopilla,321
9214,toltn,322
8304,tom,323
9108,traigun,326
8116,trehuaco,327
8203,tucapel,328
13110,uoa,186
10101,valdivia,329
3301,vallenar,330
5501,valparaso,331
5502,via del mar,339
7108,vichuqun,332
9107,victoria,333
4105,vicua,334
9204,vilcn,335
7307,villa alegre,336
5506,villa alemana,337
9209,villarrica,338
13107,vitacura,340
7302,yerbas buenas,341
8213,yumbel,342
8109,yungay,343
5104,zapallar,344
